Customer_ID,NilaiBelanjaSetahun,Class
CUST-001,0.8301134993619059,High Value
CUST-002,0.0,Low Value
CUST-003,0.3141128779309682,Medium Value
CUST-004,0.3040745383865927,Medium Value
CUST-005,0.9670046146638096,High Value
CUST-006,0.3054275474257664,Medium Value
CUST-007,0.8716892139584758,High Value
CUST-008,0.3064111530190369,Medium Value
CUST-009,0.4007099897473696,Medium Value
CUST-010,0.31056207154101145,Medium Value
CUST-011,0.39999311427075956,Medium Value
CUST-012,0.39442412759525824,Medium Value
CUST-013,0.8099269181534288,High Value
CUST-014,0.8268897038499312,High Value
CUST-015,0.9364307516177788,High Value
CUST-016,0.31118362500073504,Medium Value
CUST-017,0.3620597299029822,Medium Value
CUST-018,0.32076103726037164,Medium Value
CUST-019,1.0,High Value
CUST-020,0.021336571504744994,Low Value
CUST-021,0.7963149831507921,High Value
CUST-022,0.3155498144528761,Medium Value
CUST-023,0.30833731937825537,Medium Value
CUST-024,0.9234316710219108,High Value
CUST-025,0.9800889704830105,High Value
CUST-026,0.312025472787402,Medium Value
CUST-027,0.7830935253561464,High Value
CUST-028,0.47893554957430995,Medium Value
CUST-029,0.3123260189409013,Medium Value
CUST-030,0.2815890792824335,Medium Value
CUST-031,0.039215943330203284,Low Value
CUST-032,0.9728823564582749,High Value
CUST-033,0.03984729853973529,Low Value
CUST-034,0.8622013651877132,High Value
CUST-035,0.3969555520051439,Medium Value
CUST-036,0.8522981672688208,High Value
CUST-037,0.3982067453681831,Medium Value
CUST-038,0.9500869170164257,High Value
CUST-039,0.3106021361933532,Medium Value
CUST-040,0.017049531182306676,Low Value
CUST-041,0.5021284499708888,Medium Value
CUST-042,0.8770001695702716,High Value
CUST-043,0.31190515630850413,Medium Value
CUST-044,0.8107317643345688,High Value
CUST-045,0.3048761989990453,Medium Value
CUST-046,0.9038569640452212,High Value
CUST-047,0.41755748236175116,Medium Value
CUST-048,0.9395016398327429,High Value
CUST-049,0.27811056079731344,Medium Value
CUST-050,0.9613820859299802,High Value
